epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.91,1.80991,1.87175,0.99689,0.40601,0.38811,0.33723,0.17687,1.59834,1.24698,0.9579,0.0004157,0.0004157,0.0004157
2,280.313,1.68197,1.25328,0.95729,0.49312,0.46314,0.43766,0.22722,1.54409,1.13137,0.95019,0.000815886,0.000815886,0.000815886
3,415.511,1.63533,1.10266,0.94451,0.62095,0.49883,0.5153,0.264,1.5008,0.9652,0.95029,0.00119957,0.00119957,0.00119957
4,548.97,1.59118,1.01862,0.93481,0.66502,0.55729,0.57914,0.30628,1.44191,0.88124,0.93277,0.00117575,0.00117575,0.00117575
5,686.684,1.57566,0.96918,0.93155,0.71699,0.5805,0.61843,0.31232,1.47637,0.83439,0.93194,0.001151,0.001151,0.001151
6,822.014,1.55221,0.92298,0.9274,0.72528,0.57668,0.61593,0.32872,1.41019,0.80667,0.92183,0.00112625,0.00112625,0.00112625
7,956.842,1.53229,0.89018,0.92178,0.75367,0.62339,0.6681,0.34507,1.39524,0.76333,0.91636,0.0011015,0.0011015,0.0011015
8,1093.76,1.50871,0.85533,0.91849,0.75498,0.63443,0.67006,0.35121,1.38008,0.75639,0.91368,0.00107675,0.00107675,0.00107675
9,1230.42,1.50127,0.83713,0.91217,0.75079,0.65235,0.68751,0.36663,1.35078,0.73967,0.90715,0.001052,0.001052,0.001052
10,1367.75,1.48782,0.81637,0.9098,0.77798,0.6773,0.70566,0.37207,1.36111,0.70258,0.90772,0.00102725,0.00102725,0.00102725
11,1503.84,1.47875,0.80638,0.90799,0.78596,0.67099,0.71148,0.37291,1.36515,0.6971,0.90922,0.0010025,0.0010025,0.0010025
12,1641.24,1.4647,0.79376,0.90649,0.79324,0.68349,0.7247,0.3875,1.34056,0.68122,0.90495,0.00097775,0.00097775,0.00097775
13,1778.21,1.45251,0.77632,0.90503,0.80209,0.70337,0.74223,0.39657,1.3111,0.66277,0.89906,0.000953,0.000953,0.000953
14,1919.07,1.44518,0.76277,0.90076,0.80853,0.67279,0.72376,0.39059,1.30744,0.65585,0.8979,0.00092825,0.00092825,0.00092825
15,2057,1.44297,0.75439,0.89852,0.80387,0.70646,0.74828,0.40127,1.30134,0.63489,0.89424,0.0009035,0.0009035,0.0009035
16,2195.73,1.43794,0.75076,0.8965,0.80416,0.7057,0.74349,0.39928,1.30608,0.63594,0.8958,0.00087875,0.00087875,0.00087875
17,2332.93,1.42119,0.74205,0.89734,0.81642,0.70506,0.75196,0.40997,1.29115,0.63927,0.89441,0.000854,0.000854,0.000854
18,2470.38,1.42055,0.72958,0.89387,0.82417,0.73389,0.76662,0.41546,1.27773,0.61721,0.88742,0.00082925,0.00082925,0.00082925
19,2607.92,1.39963,0.71127,0.89188,0.83108,0.72256,0.76799,0.41586,1.29115,0.61388,0.89122,0.0008045,0.0008045,0.0008045
20,2746.11,1.39789,0.70669,0.89093,0.82001,0.73479,0.77796,0.42276,1.27564,0.60448,0.8869,0.00077975,0.00077975,0.00077975
21,2882.71,1.3868,0.7002,0.89043,0.82733,0.73472,0.77711,0.41929,1.27705,0.60576,0.8875,0.000755,0.000755,0.000755
22,3018.65,1.38738,0.70175,0.88784,0.82044,0.73908,0.77734,0.4276,1.26189,0.60038,0.88423,0.00073025,0.00073025,0.00073025
23,3157.49,1.36927,0.68254,0.88566,0.83158,0.73492,0.78073,0.43265,1.25231,0.58698,0.88349,0.0007055,0.0007055,0.0007055
24,3293.96,1.37105,0.68333,0.88547,0.83131,0.74856,0.78838,0.43341,1.25123,0.58714,0.88295,0.00068075,0.00068075,0.00068075
25,3428.81,1.37044,0.67851,0.88473,0.83767,0.74355,0.786,0.43452,1.24863,0.5809,0.88299,0.000656,0.000656,0.000656
26,3563.52,1.3457,0.66013,0.8792,0.82971,0.75231,0.79312,0.44193,1.23663,0.56574,0.87953,0.00063125,0.00063125,0.00063125
27,3696.06,1.35166,0.65994,0.87932,0.8367,0.75383,0.7979,0.44104,1.23114,0.56822,0.88005,0.0006065,0.0006065,0.0006065
28,3830.82,1.34866,0.65391,0.88016,0.83317,0.7535,0.79461,0.44065,1.22527,0.56503,0.87858,0.00058175,0.00058175,0.00058175
29,3964.14,1.34241,0.65314,0.87734,0.84198,0.75887,0.80263,0.4432,1.22781,0.55804,0.87819,0.000557,0.000557,0.000557
30,4094.89,1.33426,0.64684,0.87719,0.834,0.77068,0.8069,0.44994,1.2092,0.54926,0.87537,0.00053225,0.00053225,0.00053225
31,4228.36,1.33127,0.64152,0.87502,0.85091,0.76787,0.81019,0.45209,1.21004,0.55122,0.87431,0.0005075,0.0005075,0.0005075
